costumers,tickets,income,stdDev,time
50,1,0.929245,0.0940168,2
50,10,7.49765,0.687722,5
100,1,0.96408,0.0353654,4
100,10,8.68928,0.421025,9
150,1,0.974585,0.0378075,6
150,10,9.10475,0.32123,14
150,50,32.4015,2.03562,53
200,1,0.980012,0.029166,8
200,10,9.31291,0.238811,21
200,50,36.6907,1.66151,76
250,1,0.985464,0.0105427,10
250,10,9.43984,0.234086,24
250,50,39.1696,1.42441,102
300,1,0.986434,0.0333596,12
300,10,9.53988,0.171694,29
300,50,41.0253,1.15685,120
350,1,0.989577,0.00783701,14
350,10,9.60671,0.13668,35
350,50,42.2476,1.10226,153
400,1,0.990188,0.0101235,16
400,10,9.65654,0.124267,40
400,50,43.1597,0.96109,181
450,1,0.991947,0.00720583,18
450,10,9.68442,0.136101,47
450,50,43.9514,0.852833,201
450,200,109.971,4.58632,767
500,1,0.992219,0.00820091,22
500,10,9.72143,0.100319,55
500,50,44.513,0.790147,251
500,200,118.682,4.35774,988
550,1,0.992714,0.00785379,23
550,10,9.74372,0.112379,55
550,50,45.0304,0.698007,236
550,200,125.98,4.07276,1016
600,1,0.992907,0.024469,24
600,10,9.76792,0.0830188,60
600,50,45.4308,0.633409,252
600,200,132.221,3.95835,1126
650,1,0.994042,0.00549464,26
650,10,9.78637,0.0937134,68
650,50,45.8059,0.605855,286
650,200,137.283,3.5556,1255
700,1,0.994562,0.00682777,30
700,10,9.80114,0.0798882,78
700,50,46.0866,0.55822,313
700,200,141.726,3.55365,1292
750,1,0.994753,0.00512179,31
750,10,9.81411,0.0835382,81
750,50,46.3408,0.515718,315
750,200,145.303,3.42373,1437
800,1,0.994769,0.00761454,36
800,10,9.82284,0.0743836,94
800,50,46.5657,0.510336,345
800,200,148.801,3.15987,1511
850,1,0.995693,0.00334976,34
850,10,9.83389,0.0669802,85
850,50,46.7692,0.480885,376
850,200,151.92,3.02724,1731
900,1,0.995684,0.00560713,38
900,10,9.84351,0.0695739,91
900,50,46.9573,0.441608,391
900,200,154.614,2.81811,1797
950,1,0.995622,0.00646622,41
950,10,9.85483,0.0431285,94
950,50,47.1253,0.415024,419
950,200,156.885,2.6598,1787
1000,1,0.996002,0.00452275,42
1000,10,9.85944,0.0498828,108
1000,50,47.2422,0.436508,435
1000,200,158.907,2.68184,1922
