costumers,tickets,income,stdDev,time
50,1,0.62132,0.472075,0
50,10,7.1504,1.23318,1
100,1,0.61083,0.481257,1
100,10,7.902,1.52406,2
150,1,0.59302,0.487231,2
150,10,8.1312,1.61201,3
150,50,31.7953,2.25554,4
200,1,0.6169,0.48296,3
200,10,8.3695,1.62333,4
200,50,35.7435,2.54548,6
250,1,0.616524,0.48369,4
250,10,8.43072,1.67725,7
250,50,37.9704,2.95769,9
300,1,0.63687,0.47869,4
300,10,8.46027,1.64177,6
300,50,39.5258,3.06721,9
350,1,0.639169,0.478337,5
350,10,8.50389,1.62478,8
350,50,40.5686,3.25862,11
400,1,0.639398,0.478508,6
400,10,8.5293,1.62579,9
400,50,41.5529,3.05923,11
450,1,0.621616,0.483558,7
450,10,8.56142,1.70382,11
450,50,42.1538,3.37334,13
450,200,108.771,3.32625,12
500,1,0.629738,0.481569,8
500,10,8.57598,1.69656,14
500,50,42.7761,3.25635,13
500,200,117.304,3.97171,14
550,1,0.621867,0.483754,9
550,10,8.55164,1.6994,13
550,50,43.0027,3.45541,14
550,200,124.535,4.08389,16
600,1,0.645922,0.477106,10
600,10,8.65137,1.66854,13
600,50,43.3208,3.57546,18
600,200,130.03,4.55714,18
650,1,0.629031,0.482062,10
650,10,8.68825,1.67704,15
650,50,43.7538,3.42709,19
650,200,135.082,4.67541,21
700,1,0.637089,0.479892,12
700,10,8.66936,1.66786,17
700,50,43.9289,3.75023,18
700,200,139.748,4.80181,21
750,1,0.631157,0.481618,13
750,10,8.62248,1.68685,17
750,50,44.1663,3.54961,20
750,200,143.15,5.23145,23
800,1,0.616229,0.485511,13
800,10,8.52904,1.69184,20
800,50,44.1525,3.71808,21
800,200,146.256,5.38362,26
850,1,0.630258,0.481966,14
850,10,8.62334,1.74807,21
850,50,44.2748,3.82125,23
850,200,149.386,5.25603,28
900,1,0.626303,0.483065,15
900,10,8.78232,1.61913,20
900,50,44.6203,3.75445,22
900,200,151.97,5.52079,29
950,1,0.636329,0.480359,16
950,10,8.61535,1.76369,21
950,50,44.8645,3.63295,24
950,200,153.647,5.89222,34
1000,1,0.620379,0.484653,16
1000,10,8.66052,1.71258,23
1000,50,44.9872,3.75977,26
1000,200,155.878,6.02457,31
